"ego_ID","ego.sex","ego.age","ego.arr","ego.edu","ego.inc","empl","ego.empl.bin","ego.age.cat"
28,"Male",61,2008,"Secondary",350,3,"Yes","60+"
29,"Male",38,2000,"Primary",900,4,"Yes","36-40"
33,"Male",30,2010,"Primary",200,3,"Yes","26-30"
35,"Male",25,2009,"Secondary",1000,3,"Yes","18-25"
39,"Male",29,2007,"Primary",0,1,"No","26-30"
40,"Male",56,2008,"Secondary",950,4,"Yes","51-60"
45,"Male",52,1975,"Primary",1600,3,"Yes","51-60"
46,"Male",35,2002,"Secondary",1200,4,"Yes","31-35"
47,"Male",22,2010,"Secondary",700,4,"Yes","18-25"
48,"Male",51,2007,"Primary",950,4,"Yes","51-60"
49,"Male",50,2001,"Secondary",1300,4,"Yes","41-50"
51,"Male",45,2011,"Secondary",480,3,"Yes","41-50"
52,"Male",51,2002,"University",1200,4,"Yes","51-60"
53,"Male",32,2003,"Primary",1600,1,"No","31-35"
55,"Male",57,1979,"Secondary",470,7,"No","51-60"
56,"Male",42,1992,"Primary",1100,4,"Yes","41-50"
57,"Male",32,2000,"Primary",1200,4,"Yes","31-35"
58,"Male",55,1990,"Secondary",1450,4,"Yes","51-60"
59,"Male",44,1990,"Secondary",1300,4,"Yes","41-50"
60,"Male",25,2011,"Primary",0,1,"No","18-25"
61,"Male",28,2007,"University",2000,4,"Yes","26-30"
62,"Male",60,1991,"University",1600,4,"Yes","51-60"
64,"Male",54,1981,"Primary",300,3,"Yes","51-60"
65,"Male",30,2007,"Secondary",800,4,"Yes","26-30"
66,"Male",37,2003,"Primary",300,1,"No","36-40"
68,"Male",41,2008,"Primary",600,4,"Yes","41-50"
69,"Male",47,2004,"Secondary",400,2,"No","41-50"
71,"Male",33,2010,"Primary",250,1,"No","31-35"
73,"Male",37,2008,"Primary",1100,4,"Yes","36-40"
74,"Male",29,2010,"Primary",400,3,"Yes","26-30"
78,"Male",39,2010,"Secondary",250,2,"No","36-40"
79,"Male",31,2007,"Secondary",300,3,"Yes","31-35"
80,"Male",52,1989,"Secondary",1250,4,"Yes","51-60"
81,"Male",30,2000,"Primary",800,4,"Yes","26-30"
82,"Male",57,1982,"Primary",1190,4,"Yes","51-60"
83,"Male",44,2009,"Secondary",900,4,"Yes","41-50"
84,"Male",47,1989,"Secondary",1100,4,"Yes","41-50"
85,"Male",42,2008,"Primary",400,2,"No","41-50"
86,"Male",44,2004,"Secondary",1200,4,"Yes","41-50"
87,"Male",31,2011,"Primary",750,4,"Yes","31-35"
88,"Male",31,2011,"Primary",200,2,"No","31-35"
90,"Male",56,2004,"Primary",450,4,"Yes","51-60"
91,"Male",36,2008,"Primary",850,4,"Yes","36-40"
92,"Male",47,1987,"Secondary",1600,4,"Yes","41-50"
93,"Male",47,2010,"Primary",880,4,"Yes","41-50"
94,"Male",35,2011,"Primary",300,1,"No","31-35"
95,"Male",43,1997,"Primary",800,4,"Yes","41-50"
97,"Male",22,2010,"University",1200,4,"Yes","18-25"
99,"Male",55,2008,"Primary",220,3,"Yes","51-60"
102,"Male",32,1993,"Secondary",1600,4,"Yes","31-35"
104,"Male",NA,NA,"University",NA,4,"Yes",NA
105,"Male",60,1999,"Primary",500,4,"Yes","51-60"
107,"Male",51,2007,"University",1000,4,"Yes","51-60"
108,"Male",53,2005,"Secondary",700,4,"Yes","51-60"
109,"Male",25,2009,"Secondary",900,4,"Yes","18-25"
110,"Male",33,2011,"University",1300,3,"Yes","31-35"
112,"Male",38,2002,"Primary",1500,4,"Yes","36-40"
113,"Male",37,2006,"Primary",800,4,"Yes","36-40"
114,"Male",27,2009,"Secondary",1200,4,"Yes","26-30"
115,"Male",34,2007,"Secondary",1000,4,"Yes","31-35"
116,"Male",32,2003,"Secondary",1000,4,"Yes","31-35"
118,"Male",26,2011,"University",1200,4,"Yes","26-30"
119,"Male",36,2008,"University",1600,4,"Yes","36-40"
120,"Male",53,2000,"University",900,1,"No","51-60"
121,"Male",42,2002,"Secondary",900,3,"Yes","41-50"
122,"Male",45,1989,"Secondary",1300,4,"Yes","41-50"
123,"Male",36,1998,"Secondary",1400,4,"Yes","36-40"
124,"Male",54,2004,"University",850,4,"Yes","51-60"
125,"Male",49,2011,"Primary",0,1,"No","41-50"
126,"Male",35,2011,"Secondary",150,2,"No","31-35"
127,"Male",27,2007,"Secondary",250,3,"Yes","26-30"
128,"Male",32,2011,"Secondary",300,3,"Yes","31-35"
129,"Male",58,2006,"University",850,4,"Yes","51-60"
130,"Male",51,1989,"Primary",750,3,"Yes","51-60"
131,"Male",55,2001,"Secondary",1100,3,"Yes","51-60"
132,"Male",59,2007,"Secondary",700,4,"Yes","51-60"
133,"Male",27,2011,"Secondary",200,3,"Yes","26-30"
135,"Male",35,2009,"Secondary",300,3,"Yes","31-35"
136,"Male",24,2011,"Secondary",400,1,"No","18-25"
138,"Male",52,2002,"Secondary",1250,4,"Yes","51-60"
139,"Male",27,2011,"Secondary",150,1,"No","26-30"
140,"Male",42,2011,"Primary",270,3,"Yes","41-50"
141,"Male",47,2006,"Primary",850,4,"Yes","41-50"
142,"Male",43,2009,"University",400,3,"Yes","41-50"
144,"Male",53,2000,"Primary",350,4,"Yes","51-60"
146,"Male",54,2000,"Primary",350,3,"Yes","51-60"
147,"Male",35,2004,"Secondary",900,4,"Yes","31-35"
149,"Male",50,1995,"Secondary",2500,4,"Yes","41-50"
151,"Male",51,2000,"Secondary",1200,4,"Yes","51-60"
152,"Male",40,2007,"University",2200,4,"Yes","36-40"
153,"Male",49,1997,"Secondary",1300,4,"Yes","41-50"
154,"Male",33,2004,"Secondary",1350,4,"Yes","31-35"
155,"Male",33,2009,"Primary",200,1,"No","31-35"
156,"Male",36,2011,"Primary",650,3,"Yes","36-40"
157,"Male",32,2008,"University",900,4,"Yes","31-35"
158,"Male",35,2006,"Primary",900,4,"Yes","31-35"
159,"Male",55,2008,"Primary",0,1,"No","51-60"
160,"Male",61,1993,"Primary",0,2,"No","60+"
161,"Male",34,2008,"Primary",225,1,"No","31-35"
162,"Male",44,1992,"Secondary",1100,4,"Yes","41-50"
163,"Male",50,2008,"Primary",900,4,"Yes","41-50"
164,"Male",28,2008,"Secondary",1500,4,"Yes","26-30"
